TargetSiteID,Site name,Site type,Owner type,Company,Easting,Northing,StatusSummary,Status_2012,Status_2013,Status_2014,Status_2015,Status_2016,Status_2017,Status_2018,Status_2019,Status_2020,Survey_2012,Survey_2013,Survey_2014,Survey_2015,Survey_2016,Survey_2017,Survey_2018,Survey_2019,Survey_2020,SPHN_2013,SPHN_2014,SPHN_2015,SPHN_2016,SPHN_2017,SPHN_2018,SPHN_2019,SPHN_2020,Spray_2013,Spray_2014,Spray_2015,Spray_2016,Spray_2017,Spray_2018,Spray_2019,Spray_2020,Nest removal_2013,Nest removal_2014,Nest removal_2015,Nest removal_2016,Nest removal_2017,Nest removal_2018
23,Wyke Green Golf Club,Golf Course,Public / private organisation,Wyke Green Golf Club (1996) Limited,515491,178711,Infested,Infested,Infested,Infested,,,Infested,,,,Surveyed,Surveyed,Surveyed,,,Surveyed,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
24,Priory Hospital,Other,Public / private organisation,The Priory Hospital,521495,175130,Infested,Infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
25,Royal Wimbledon Golf Club,Golf Course,Public / private organisation,Royal Wimbledon Golf Club,522591,170869,Infested,Infested,Infested,Infested,,,Infested,Infested,,,Surveyed,Surveyed,Surveyed,,,Surveyed,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
26,Goals Soccer Centre (McFarlane Sport Field),Recreation ground / sports field,Public / private organisation,Goals Soccer Centre (Gillette Corner),515962,178052,Infested,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
27,Ealing Golf Club,Golf Course,Public / private organisation,Ealing Golf Club,517257,182789,Infested,Infested,Infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
28,Garrick Close,Street tree,Public / private organisation,Notting Hill Housing Trust,518521,182403,Infested,Infested,Infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
29,Coombe Hill Golf Club,Golf Course,Public / private organisation,Coombe Hill Golf Club,521160,170845,Infested,Infested,Infested,Infested,,,Infested,,Infested,,Surveyed,Surveyed,Surveyed,,,Surveyed,,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
30,St Augustines School,School grounds,School,St Augustine's Priory School,518593,181879,Infested,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,Nest removal,,,,
31,Coombe Wood Golf Club,Golf Course,Public / private organisation,Coombe Wood Golf Club Ltd,519722,170090,Infested,Infested,Infested,Infested,,,Infested,,Infested,,Surveyed,Surveyed,Surveyed,,,Surveyed,,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
32,Jerome House,Private garden / land,Public / private organisation,HML Shaw Ltd,517630,169449,Infested,Infested,Previously infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
33,Twyford Abbey,Private garden / land,Public / private organisation,Fayette Associates,519101,183097,Infested,Infested,Infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
34,Lapis Close,Private garden / land,Public / private organisation,HML Shaw Ltd,519078,182974,Infested,,Previously infested,,,,,,,,,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
35,"Fairacres, Roehampton",Private garden / land,Public / private organisation,Fairacres Management Company,522018,175049,Infested,,Previously infested,,,,,,,,,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
36,Kensal Green Cemetery,Cemetery,Local Authority,General Cemetery Company,523234,182503,Infested,Infested,Infested,Infested,Infested,,,,,,Surveyed,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,SPHN issued,,,,,,Spraying,Spraying,Spraying,,,,,,Nest removal,Nest removal,Nest removal,,,
37,The Aviary,Residential garden,Private individual(s),,515053,178653,Infested,Infested,Infested,Infested,,,Infested,,,,Surveyed,Surveyed,Surveyed,,,Surveyed,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,Nest removal,,,,
38,Lakeside Drive Park Royal,Street tree,Public / private organisation,Diageo plc,519096,182858,Infested,Infested,Infested,Infested,Infested,,,,,,Surveyed,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,SPHN issued,,,,,,Spraying,Spraying,Spraying,,,,,,Nest removal,,,,,
39,Hanger Lane Compound,Private garden / land,Public / private organisation,,518458,182728,Infested,Infested,Not infested,Previously infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
40,Abbeyfields Close,Street tree,Local Authority,Lamberts Chartered Surveyors,519164,183023,Infested,Infested,Previously infested,Previously infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
41,"Mercury House, Heathcroft",Residential garden,Private individual(s),Fairoak Estate Management,518970,182321,Infested,Infested,Previously infested,Previously infested,,,Not infested,,,,Surveyed,Surveyed,Surveyed,,,Surveyed,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
42,"Allotments north of Syon Park Gardens, Isleworth",Allotment,Local Authority,London Borough of Hounslow,515733,177485,Infested,Infested,Infested,Infested,Infested,,,,,,Surveyed,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
43,263 Goldhawk Road,Residential garden,Private individual(s),,522304,179311,Infested,Infested,,Previously infested,,,,,,,Surveyed,,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,,,,,,,,,,,,,
44,154 Corringway And Adjacent,Residential garden,Private individual(s),,519130,182209,Infested,Infested,Previously infested,Previously infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
45,87 Marlow Crescent,Residential garden,Private individual(s),,515863,174244,Infested,,Previously infested,,,,,,,,,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
46,95 Marlow Crescent,Residential garden,Private individual(s),,515859,174189,Infested,Infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
47,Radnor Gardens,Park / public garden,Local Authority,London Borough of Richmond upon Thames,516027,172635,Infested,Infested,Previously infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
48,Japan Services,Private garden / land,Public / private organisation,Japan Services,519337,181294,Infested,Infested,Previously infested,Previously infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
49,Putney Vale Cemetery,Cemetery,Local Authority,London Borough of Wandsworth,522478,172804,Infested,Infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
50,Acton Yochien School,School grounds,School,Acton Yochien School,519165,181513,Infested,Infested,Not infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
51,Bishop Fox Way Open Space / Grovelands Road Rec,Recreation ground / sports field,Local Authority,Elmbridge Borough Council,512929,168322,Not infested,,Not infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
52,Kingston Hill Place,Street tree,Public / private organisation,c/o  Anita Racz  at Kinleigh Folkard & Hayward,520628,171686,Infested,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,Spraying,,,,,,Nest removal,,,,,
53,Butler Farm Close,Residential garden,Private individual(s),,517493,171816,Infested,Infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,,Spraying,,,,,,,Nest removal,,,,,
54,Hampton Court Park,Park / public garden,Public / private organisation,Historic Royal Palaces,517225,168339,Infested,Infested,Infested,Infested,Infested,,Infested,Infested,Infested,,Surveyed,Surveyed,Surveyed,Surveyed,,Surveyed,Surveyed,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,Spraying,,,,,,Nest removal,Nest removal,Nest removal,,,
55,Ham And Petersham Rifle Club,Recreation ground / sports field,Public / private organisation,Ham & Petersham Rifle and Pistol Club,516843,172913,Not infested,,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,,,,,,,,Spraying,,,,,,,,,,,,,
56,Syon Park,Park / public garden,Public / private organisation,,517677,177060,Infested,Infested,Infested,,,,Infested,,,,Surveyed,Surveyed,,,,Surveyed,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,Spraying,,,,,,Nest removal,Nest removal,,,,
57,Old Deer Park,Park / public garden,Public / private organisation,Old Deer Park,517314,175215,Infested,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,,,,,,,,Nest removal,,,,,
58,Royal Mid Surrey Golf Club,Golf Course,Public / private organisation,Royal Mid Surrey Golf Club,516927,175722,Infested,,Infested,Infested,,,,Infested,,,,Surveyed,Surveyed,,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
60,Ham House,Park / public garden,Public / private organisation,The National Trust London & South East Region,517215,172966,Infested,Infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
61,Ham Lands,Park / public garden,Local Authority,London Borough of Richmond upon Thames,516628,172339,Infested,Infested,Infested,,,,Infested,,Infested,,Surveyed,Surveyed,,,,Surveyed,,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
62,Ham Copse,Woodland,Local Authority,London Borough of Richmond upon Thames,517566,172936,Infested,Infested,Not infested,,,,Infested,,Infested,,Surveyed,Surveyed,,,,Surveyed,,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,,,,,,,,,,,,,
63,Ham Common Woods,Common,Local Authority,London Borough of Richmond upon Thames,518241,171681,Infested,Infested,Infested,,,,,Infested,,,Surveyed,Surveyed,,,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
65,National Physical Laboratory,Private garden / land,Public / private organisation,National Physical Laboratory,515652,170253,Infested,Infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
67,Conquest Sports Club,Recreation ground / sports field,Local Authority,"JAUNP Investments Ltd, c/o RR Sanghvi & Co",515695,177692,Infested,Infested,Infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,Nest removal,,,,
68,Hanworth Park,Park / public garden,Local Authority,London Borough of Hounslow,511559,171919,Infested,,Not infested,Infested,Infested,,,,Infested,,,Surveyed,Surveyed,Surveyed,,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,,Spraying,,,,,,,Nest removal,Nest removal,,,
69,Asprey Mews,Private garden / land,Public / private organisation,Baxter Lambert,536767,167716,Infested,,Previously infested,Previously infested,,,,,,,,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,Nest removal,,,,,
70,Blake Recreation Ground,Recreation ground / sports field,Local Authority,London Borough of Bromley,537883,166638,Infested,,Infested,Not infested,Not infested,Not infested,Not infested,,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,,SPHN issued,SPHN issued,SPHN issued,,SPHN issued,,,,Spraying,Spraying,Spraying,,Spraying,,,,Nest removal,,,,,
71,High Broom Wood,Woodland,Local Authority,London Borough of Bromley,537628,166940,Infested,,Infested,Infested,Infested,Not infested,Not infested,Not infested,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,,,Spraying,Spraying,Spraying,Spraying,Spraying,,,,Nest removal,,Nest removal,,,
72,Hayes Lane,Street tree,Local Authority,London Borough of Bromley,539109,168001,Infested,,Infested,Not infested,Not infested,Not infested,,,,,,Surveyed,Surveyed,Surveyed,Surveyed,,,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,,,,Spraying,Spraying,Spraying,Spraying,,,,,Nest removal,,,,,
73,Eden Park (Barts Close),Street tree,Local Authority,London Borough of Bromley,537371,167696,Infested,,Infested,Infested,Not infested,Not infested,Infested,Infested,,,,Surveyed,,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Nest removal,,,,,
74,Eden Park (near Leaveland Close),Street tree,Local Authority,London Borough of Bromley,537322,168078,Infested,,Infested,Infested,Not infested,Infested,Not infested,Infested,,,,Surveyed,,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Nest removal,,,,,
76,66 South Eden Park Road,Residential garden,Private individual(s),,537627,167291,Infested,,Infested,Not infested,Not infested,Not infested,Not infested,,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,,,Spraying,Spraying,Spraying,Spraying,Spraying,,,,Nest removal,,,,,
77,"3 Audrey Close, South Eden Park Road",Residential garden,Private individual(s),,537636,167263,Infested,,Not infested,,Infested,Not infested,,,,,,Surveyed,,Surveyed,Surveyed,,,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,,,Spraying,Spraying,,Spraying,Spraying,,,,,,Nest removal,,,
78,Langley Park School for Girls,School grounds,School,Langley Park School for Girls,538121,167313,Infested,,Infested,Infested,Not infested,Not infested,Not infested,Not infested,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,,,Spraying,Spraying,Spraying,Spraying,Spraying,,,,Nest removal,Nest removal,,,,
80,63 Barnfield Wood Road,Residential garden,Private individual(s),,538986,167479,Infested,,Infested,Not infested,Not infested,Not infested,Not infested,Not infested,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,,,,,,Spraying,Spraying,Spraying,,,,,,Nest removal,,,,,
81,West Wickham Rail Station Car Park,Railway / underground,Network Rail,Network Rail Ltd,538138,166671,Infested,Infested,Not infested,Infested,Not infested,,Not infested,,,,Surveyed,Surveyed,Surveyed,Surveyed,,Surveyed,,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,,,,Spraying,Spraying,,,,,,,,Nest removal,,,,
82,Wickham Road Street Trees,Street tree,TFL,Transport for London,536702,166048,Infested,Infested,Infested,Infested,Infested,,Not infested,Not infested,,,Surveyed,Surveyed,Surveyed,Surveyed,,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,Spraying,Spraying,Spraying,,,,,,Nest removal,,,,,
83,Parkfield  Recreation Ground,Recreation ground / sports field,Local Authority,London Borough of Bromley,543108,167559,Not infested,,,Not infested,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,43 Freshfields,Residential garden,Private individual(s),Family Mosaic Housing Association,536612,166505,Infested,,Previously infested,Previously infested,Not infested,,Not infested,,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,,SPHN issued,SPHN issued,,,,,,,Spraying,,,,,,,,,,,,,
85,Richmond Park,Park / public garden,Public / private organisation,The Royal Parks,519054,171075,Infested,Infested,Infested,Infested,Infested,Infested,Infested,Infested,Infested,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,,,,,,,,,Spraying,,,,,,Nest removal,Nest removal,Nest removal,Nest removal,Nest removal,
86,Bethlem Royal Hospital,Other,Public / private organisation,South London & Maudsley NHS Foundation Trust,537003,166925,Infested,Infested,Infested,Infested,Infested,Infested,Infested,Infested,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,Spraying,Spraying,Spraying,,,,,,Nest removal,Nest removal,,Nest removal,,
87,Crane Park,Park / public garden,Local Authority,London Borough of Richmond upon Thames,513330,172761,Infested,,Not infested,,,,Infested,Infested,,,,Surveyed,,,,Surveyed,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
88,Gunnersbury Park,Park / public garden,Local Authority,London Borough of Hounslow,518608,178580,Infested,Infested,Not infested,Infested,,,Infested,Infested,Infested,,Surveyed,Surveyed,Surveyed,,,Surveyed,Surveyed,Surveyed,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
90,"Dukes Avenue, Kingston",Street tree,Local Authority,Royal Borough Kingston-upon-Thames,517609,171617,Infested,,Infested,,Previously infested,,,,,,,Surveyed,,Surveyed,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
91,Kensington Gardens,Park / public garden,Public / private organisation,The Royal Parks,526652,180677,Infested,Infested,Infested,Infested,Infested,,,,Infested,,Surveyed,Surveyed,Surveyed,Surveyed,,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,Nest removal,Nest removal,Nest removal,,,
92,28 Orchard Rise,Residential garden,Private individual(s),,536587,166492,Not infested,,Not infested,,Not infested,Not infested,,,,,,Surveyed,,Surveyed,Surveyed,,,,,SPHN issued,,,,,,,,Spraying,,,,,,,,,,,,,
93,32 Orchard Rise,Residential garden,Private individual(s),,536630,166562,Infested,,Not infested,Not infested,Infested,Not infested,,,,,,Surveyed,Surveyed,Surveyed,Surveyed,,,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,,,Spraying,Spraying,,Spraying,Spraying,,,,,,Nest removal,,,
94,48 South Eden Park Road,Residential garden,Private individual(s),,537653,167067,Not infested,,Not infested,Not infested,,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
95,55 Barnfield Wood Road,Residential garden,Private individual(s),,538998,167518,Not infested,,Not infested,Not infested,Not infested,,,Not infested,,,,Surveyed,Surveyed,Surveyed,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,,,,,,,,,,,,,
96,56 Barnfield Wood Road,Residential garden,Private individual(s),,538949,167553,Infested,,Not infested,Not infested,,Not infested,Infested,Not infested,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,,,,SPHN issued,SPHN issued,,Spraying,Spraying,,,,Spraying,Spraying,,,,,,,
97,57 Barnfield Wood Road,Residential garden,Private individual(s),,538990,167521,Not infested,,Not infested,Not infested,Not infested,,,Not infested,,,,Surveyed,Surveyed,Surveyed,,,Surveyed,,,SPHN issued,SPHN issued,,,,,,,Spraying,,,,,,,,,,,,,
98,6 Barnfield Wood Close,Residential garden,Private individual(s),,538798,167252,Not infested,,,,Not infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,,,,,,,
99,60 Barnfield Wood Road,Residential garden,Private individual(s),,538936,167535,Not infested,,Not infested,Not infested,,Not infested,Not infested,Not infested,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,,,,SPHN issued,SPHN issued,,Spraying,Spraying,,,,Spraying,Spraying,,,,,,,
